 	Area	Mean	StdDev	Mode	Min	Max	IntDen	Median	RawIntDen
1	125	55.272	18.725	59	0	105	6909	59	6909
2	7	53.571	19.147	33	33	79	375	53	375
3	43	51.837	19.198	53	7	85	2229	53	2229
4	110	76.709	31.819	79	26	151	8438	72	8438
5	126	53.532	20.069	53	0	105	6745	53	6745
6	80	51.788	20.454	46	0	92	4143	53	4143
7	53	52.038	19.386	46	13	92	2758	53	2758
8	186	53.290	19.897	53	7	98	9912	53	9912
9	3	59.333	36.460	20	20	92	178	66	178
10	140	57.250	20.840	53	7	105	8015	59	8015
11	229	89.445	32.673	79	13	177	20483	85	20483
12	168	55.655	19.097	59	13	112	9350	53	9350
13	3	52.667	28.449	20	20	72	158	66	158
14	220	146.845	58.741	92	13	255	32306	158	32306
15	143	56.741	19.731	46	7	118	8114	53	8114
16	130	55.469	19.043	59	7	98	7211	59	7211
17	157	56.357	18.768	59	7	105	8848	59	8848
18	211	63.218	20.329	59	7	118	13339	59	13339
19	245	68.580	24.156	66	7	138	16802	66	16802
20	229	97.734	45.583	72	13	255	22381	92	22381
21	167	59.868	20.755	53	13	131	9998	59	9998
22	1	98	0	98	98	98	98	98	98
23	573	83.546	58.967	46	0	255	47872	66	47872
24	4	36.250	33.260	7	7	79	145	46	145
25	170	55.218	20.823	53	7	105	9387	53	9387
26	158	59.203	18.625	59	13	118	9354	59	9354
27	147	52.048	17.190	53	0	92	7651.000	53	7651.000
28	140	56.550	17.753	53	0	105	7917	53	7917
29	2	56	14.142	46	46	66	112	66	112
30	115	56.930	18.478	53	0	98	6547	53	6547
31	156	54.885	18.620	59	13	92	8562	59	8562
32	2	23	14.142	13	13	33	46	33	46
33	135	58.037	19.888	66	7	98	7835	59	7835
34	503	94.541	42.574	72	7	255	47554	85	47554
35	1	33	0	33	33	33	33	33	33
36	239	103.937	40.909	66	13	217	24841	98	24841
37	446	78.016	29.742	59	13	171	34795	72	34795
38	196	108.847	48.566	105	20	217	21334	105	21334
39	191	52.503	20.472	53	7	105	10028	53	10028
40	226	88.841	30.674	66	26	171	20078	85	20078
41	145	57.255	19.060	39	13	105	8302	59	8302
42	198	115.460	47.969	53	20	236	22861	118	22861
43	267	99.292	40.500	79	0	210	26511	92	26511
44	293	79.123	30.956	66	20	190	23183	79	23183
45	202	52.604	19.955	59	0	112	10626	53	10626
46	303	161.413	68.741	255	33	255	48908	164	48908
47	129	54.388	19.548	59	0	112	7016	53	7016
48	261	146.801	63.916	79	26	255	38315	151	38315
49	140	53.107	19.420	53	0	98	7435	53	7435
50	185	52.124	20.795	53	0	105	9643	53	9643
51	142	54.465	19.788	59	7	98	7734	53	7734
52	205	76.166	27.481	59	0	144	15614.000	72	15614.000
53	160	54.419	20.251	53	0	112	8707	53	8707
54	179	145.827	64.052	255	20	255	26103.000	151	26103.000
55	137	56.474	20.606	46	7	105	7737	53	7737
56	117	51.803	19.488	53	7	98	6061	53	6061
57	218	102.417	73.386	46	0	255	22327	72	22327
58	137	55.628	18.835	59	13	105	7621	59	7621
59	130	57.992	22.125	59	0	125	7539	59	7539
60	95	54.579	22.125	53	7	131	5185	53	5185
61	11	55.636	19.351	66	20	79	612	59	612
62	93	155.484	61.224	85	26	255	14460.000	158	14460.000
63	360	156.711	62.943	255	20	255	56416	158	56416
64	192	53.161	18.987	46	7	98	10207	53	10207
65	1	85	0	85	85	85	85	85	85
66	214	109.037	41.778	72	13	210	23334	112	23334
67	125	59.776	20.750	66	7	105	7472	59	7472
68	178	55.320	21.436	46	0	105	9847	53	9847
69	218	59.803	20.748	59	0	131	13037	59	13037
70	127	54.402	18.294	53	7	105	6909	53	6909
71	228	80.417	28.108	72	13	151	18335	79	18335
72	270	68.678	23.986	66	0	131	18543	66	18543
73	140	54.886	17.955	39	13	98	7684	53	7684
74	5	60.600	8.706	66	46	66	303	66	303
75	178	53.034	20.039	46	0	105	9440	53	9440
76	4	69	23.986	46	46	98	276	79	276
77	252	77.607	26.868	85	13	138	19557	79	19557
78	125	56.328	21.348	53	0	118	7041	53	7041
79	224	62.326	19.929	59	13	131	13961	59	13961
80	206	54.558	20.329	46	0	112	11239	53	11239
81	142	55.507	19.635	59	0	105	7882	53	7882
82	126	57.556	20.198	46	20	125	7252	59	7252
83	170	54.853	18.070	66	7	98	9325	53	9325
84	88	73.136	22.978	59	26	138	6436	66	6436
85	89	52.247	19.852	59	0	92	4650	53	4650
86	1	59	0	59	59	59	59	59	59
87	367	59.428	21.454	53	0	125	21810	59	21810
88	301	144.841	41.303	184	46	236	43597	144	43597
89	125	57.472	22.471	59	7	112	7184	59	7184
90	270	82.289	30.474	92	0	164	22218	85	22218
91	286	73.017	26.324	66	13	164	20883	66	20883
92	196	55.439	19.649	53	0	105	10866	53	10866
93	173	51.266	19.673	46	0	92	8869	53	8869
94	5	73.600	8.706	79	59	79	368	79	368
95	4	69	32.934	33	33	112	276	72	276
96	151	53.848	21.020	53	0	98	8131	53	8131
97	286	93.538	36.836	59	7	203	26752	92	26752
98	163	55.196	20.212	59	7	112	8997	59	8997
99	41	57.927	24.481	46	13	125	2375	59	2375
100	156	54.519	19.792	46	0	98	8505	53	8505
101	130	54.546	17.256	53	20	92	7091	53	7091
102	151	58.629	19.183	46	7	112	8853	59	8853
103	134	60.821	20.681	53	0	118	8150	59	8150
104	136	55.110	16.386	53	13	105	7495	53	7495
105	6	55.833	22.266	33	33	92	335	53	335
106	118	71.449	22.232	66	0	118	8431	72	8431
107	130	58.908	19.918	59	13	112	7658	59	7658
108	141	61.546	17.473	59	13	105	8678	59	8678
109	174	60.431	19.746	66	13	105	10515	59	10515
110	281	84.808	26.822	66	13	158	23831	85	23831
111	17	55.647	15.720	59	33	85	946	59	946
112	160	50.700	18.114	53	0	98	8112	53	8112
113	302	57.232	20.507	46	0	125	17284	59	17284
114	144	53.354	20.112	59	13	105	7683	53	7683
115	145	60	20.245	53	13	125	8700	59	8700
116	2	29.500	41.719	0	0	59	59	59	59
117	2	56	4.243	53	53	59	112	59	112
118	74	48.919	18.658	46	0	92	3620	46	3620
119	108	59.287	18.033	59	13	98	6403	59	6403
120	287	88.003	32.726	79	20	190	25257	85	25257
121	111	55.333	19.339	53	0	98	6142	53	6142
122	359	113.471	44.762	151	13	223	40736	118	40736
123	188	59.505	19.320	66	0	118	11187	59	11187
124	128	61.977	18.166	59	13	112	7933	59	7933
125	98	56.153	20.216	53	13	105	5503	53	5503
126	218	87.491	25.493	79	13	158	19073	85	19073
127	155	56.645	18.822	59	0	98	8780	59	8780
128	133	54.451	19.757	46	0	98	7242	53	7242
129	203	94.512	31.093	118	13	171	19186	92	19186
130	253	101.277	37.110	85	26	197	25623	98	25623
131	2	59	18.385	46	46	72	118	72	118
132	265	80.094	27.398	79	20	171	21225	79	21225
133	125	61.456	18.850	53	20	125	7682	59	7682
134	139	54.899	20.176	53	7	98	7631	53	7631
135	143	62.350	20.275	46	0	112	8916	59	8916
136	57	54.614	21.311	53	7	98	3113	53	3113
137	110	58.718	19.193	72	7	112	6459	59	6459
138	222	163.640	62.421	255	20	255	36328	177	36328
139	176	53.761	19.161	53	0	105	9462	53	9462
140	179	57.335	18.974	59	20	112	10263	59	10263
141	134	61.500	20.417	66	13	118	8241	59	8241
142	2	39.500	19.092	26	26	53	79	53	79
143	130	56.908	20.667	59	13	105	7398	59	7398
144	369	119.247	37.757	138	26	223	44002	118	44002
145	144	148.424	50.532	125	46	255	21373	151	21373
146	233	83.348	26.251	79	20	158	19420	79	19420
147	170	53.941	19.897	59	7	105	9170	53	9170
148	199	164.141	63.751	255	39	255	32664.000	164	32664.000
149	143	63.601	20.099	59	20	118	9095	66	9095
150	130	58.469	20.856	59	13	112	7601	59	7601
151	59	55.492	17.112	59	13	92	3274	59	3274
152	6	80	16.625	66	66	105	480	85	480
153	274	79.741	26.724	66	13	151	21849	79	21849
154	203	106.670	38.415	79	7	177	21654	105	21654
155	127	54.417	17.449	53	13	92	6911	53	6911
156	205	102.244	41.712	79	0	203	20960	92	20960
157	172	58.715	20.186	66	13	118	10099	59	10099
158	2	66	18.385	53	53	79	132	79	132
159	1	79	0	79	79	79	79	79	79
160	135	56.637	18.282	59	13	105	7646	59	7646
161	132	57.326	17.544	53	13	112	7567	59	7567
162	1	66	0	66	66	66	66	66	66
163	579	59.221	20.244	66	0	118	34289	59	34289
164	167	56.958	21.365	66	7	105	9512	59	9512
165	1	72	0	72	72	72	72	72	72
166	134	58.119	19.375	53	7	112	7788	53	7788
167	292	122.027	53.326	66	7	255	35632	118	35632
168	270	73.915	21.327	79	13	131	19957	72	19957
169	2	29.500	13.435	20	20	39	59	39	59
170	182	71.516	25.621	72	13	144	13016	72	13016
171	130	60.623	20.987	53	13	112	7881	59	7881
172	9	53.222	22.731	39	20	85	479	53	479
173	27	59.630	20.651	66	20	105	1610	59	1610
174	238	133.017	64.894	151	7	255	31658	131	31658
175	143	54.406	18.832	53	0	98	7780	53	7780
176	193	121.114	43.962	125	39	210	23375	125	23375
177	1	59	0	59	59	59	59	59	59
178	134	58.500	20.392	59	13	118	7839	59	7839
179	217	97.972	30.956	79	13	164	21260	98	21260
180	157	59.064	19.504	59	0	105	9273	59	9273
181	222	137.649	53.321	184	20	243	30558	144	30558
182	1	59	0	59	59	59	59	59	59
183	148	61.399	19.960	53	20	125	9087	59	9087
184	214	128.687	48.662	72	26	255	27539	125	27539
185	1	26	0	26	26	26	26	26	26
186	204	106.265	34.928	125	13	184	21678	105	21678
187	1	79	0	79	79	79	79	79	79
188	169	59.544	20.092	59	7	118	10063	59	10063
189	22	99.955	55.197	53	26	223	2199	85	2199
190	24	60.958	20.016	59	13	92	1463	59	1463
191	118	60.636	19.861	53	0	105	7155	59	7155
192	1	85	0	85	85	85	85	85	85
193	136	64.154	20.612	59	13	125	8725	66	8725
194	142	58.458	20.348	53	0	105	8301	59	8301
195	189	136.413	64.251	79	20	255	25782	125	25782
196	497	58.577	18.808	53	0	112	29113	59	29113
197	14	93.286	31.585	79	20	138	1306	98	1306
198	460	112.450	54.832	72	0	255	51727	105	51727
199	365	82.896	28.038	79	7	164	30257.000	79	30257.000
200	139	58.432	19.875	59	7	98	8122	59	8122
201	138	61.841	19.764	59	13	112	8534	59	8534
202	129	61.287	19.179	66	7	112	7906	66	7906
203	156	62.885	17.414	59	26	105	9810	59	9810
204	161	61.081	18.958	53	7	105	9834	59	9834
205	159	60.371	19.506	53	7	118	9599	59	9599
206	122	65.393	20.837	66	13	131	7978.000	66	7978.000
207	134	56.157	21.621	66	7	118	7525	53	7525
208	169	60.722	21.049	72	0	125	10262	59	10262
209	227	77.837	23.160	72	20	138	17669	79	17669
210	224	125.098	58.305	53	7	249	28022	118	28022
211	152	61.349	20.163	59	7	112	9325	59	9325
212	125	127.536	38.600	158	26	210	15942	131	15942
213	149	57.597	19.638	53	0	112	8582	53	8582
214	134	59.448	19.512	59	13	105	7966	59	7966
215	215	119.786	42.118	138	13	223	25754	125	25754
216	113	57.735	19.250	59	13	125	6524	59	6524
217	507	151.978	72.402	255	20	255	77053	144	77053
218	132	62.235	19.814	72	13	112	8215	66	8215
219	126	59.611	19.884	59	0	118	7511	59	7511
220	53	59.038	23.673	53	7	118	3129	59	3129
221	191	121.916	42.897	144	26	210	23286	125	23286
222	266	109.402	40.712	79	20	197	29101	105	29101
223	114	59.474	18.632	59	20	112	6780	59	6780
224	90	64.956	19.302	72	20	118	5846.000	66	5846.000
225	117	58.966	17.318	66	20	105	6899	59	6899
226	48	86.438	24.504	72	26	131	4149	79	4149
227	2	78.500	9.192	72	72	85	157	85	157
228	124	60.863	18.733	53	7	105	7547	59	7547
229	121	60.901	20.270	59	20	105	7369	59	7369
230	112	62.330	18.632	59	20	98	6981	59	6981
231	113	59.912	19.634	59	13	125	6770	59	6770
232	95	87.074	27.337	79	7	144	8272	85	8272
233	115	61.913	18.257	72	13	112	7120	66	7120
234	273	121.835	35.379	144	33	203	33261	125	33261
235	114	59.904	19.640	46	20	105	6829	59	6829
236	128	60.805	20.930	72	13	112	7783	66	7783
237	1	59	0	59	59	59	59	59	59
238	158	59.652	21.972	53	0	125	9425	59	9425
239	166	63.849	21.078	72	20	125	10599	66	10599
240	18	60.611	21.731	46	33	92	1091	53	1091
241	145	60.724	19.554	59	0	105	8805	59	8805
242	186	132.930	56.718	85	20	255	24725	131	24725
243	190	56.558	18.719	59	0	112	10746	59	10746
244	127	62.677	21.608	72	0	138	7960	66	7960
